"IDG070. Live births by sex and age of mother"

"By age of mother (years)";"1929 Total";"1929 boys";"1929 girls";"1930 Total";"1930 boys";"1930 girls";"1931 Total";"1931 boys";"1931 girls";"1932 Total";"1932 boys";"1932 girls";"1933 Total";"1933 boys";"1933 girls";"1934 Total";"1934 boys";"1934 girls";"1935 Total";"1935 boys";"1935 girls";"1936 Total";"1936 boys";"1936 girls";"1937 Total";"1937 boys";"1937 girls";"1938 Total";"1938 boys";"1938 girls";"1939 Total";"1939 boys";"1939 girls";"1940 Total";"1940 boys";"1940 girls";"1941 Total";"1941 boys";"1941 girls";"1942 Total";"1942 boys";"1942 girls";"1943 Total";"1943 boys";"1943 girls";"1944 Total";"1944 boys";"1944 girls";"1945 Total";"1945 boys";"1945 girls";"1946 Total";"1946 boys";"1946 girls";"1947 Total";"1947 boys";"1947 girls";"1948 Total";"1948 boys";"1948 girls";"1949 Total";"1949 boys";"1949 girls";"1950 Total";"1950 boys";"1950 girls";"1951 Total";"1951 boys";"1951 girls";"1952 Total";"1952 boys";"1952 girls";"1953 Total";"1953 boys";"1953 girls";"1954 Total";"1954 boys";"1954 girls";"1955 Total";"1955 boys";"1955 girls";"1956 Total";"1956 boys";"1956 girls";"1957 Total";"1957 boys";"1957 girls";"1958 Total";"1958 boys";"1958 girls";"1959 Total";"1959 boys";"1959 girls";"1960 Total";"1960 boys";"1960 girls";"1961 Total";"1961 boys";"1961 girls";"1962 Total";"1962 boys";"1962 girls";"1963 Total";"1963 boys";"1963 girls";"1964 Total";"1964 boys";"1964 girls";"1965 Total";"1965 boys";"1965 girls";"1966 Total";"1966 boys";"1966 girls";"1967 Total";"1967 boys";"1967 girls";"1968 Total";"1968 boys";"1968 girls";"1969 Total";"1969 boys";"1969 girls";"1970 Total";"1970 boys";"1970 girls";"1971 Total";"1971 boys";"1971 girls";"1972 Total";"1972 boys";"1972 girls";"1973 Total";"1973 boys";"1973 girls";"1974 Total";"1974 boys";"1974 girls";"1975 Total";"1975 boys";"1975 girls";"1976 Total";"1976 boys";"1976 girls";"1977 Total";"1977 boys";"1977 girls";"1978 Total";"1978 boys";"1978 girls";"1979 Total";"1979 boys";"1979 girls";"1980 Total";"1980 boys";"1980 girls";"1981 Total";"1981 boys";"1981 girls";"1982 Total";"1982 boys";"1982 girls";"1983 Total";"1983 boys";"1983 girls";"1984 Total";"1984 boys";"1984 girls";"1985 Total";"1985 boys";"1985 girls";"1986 Total";"1986 boys";"1986 girls";"1987 Total";"1987 boys";"1987 girls";"1988 Total";"1988 boys";"1988 girls";"1989 Total";"1989 boys";"1989 girls";"1990 Total";"1990 boys";"1990 girls";"1991 Total";"1991 boys";"1991 girls";"1992 Total";"1992 boys";"1992 girls";"1993 Total";"1993 boys";"1993 girls";"1994 Total";"1994 boys";"1994 girls";"1995 Total";"1995 boys";"1995 girls";"1996 Total";"1996 boys";"1996 girls";"1997 Total";"1997 boys";"1997 girls";"1998 Total";"1998 boys";"1998 girls";"1999 Total";"1999 boys";"1999 girls";"2000 Total";"2000 boys";"2000 girls";"2001 Total";"2001 boys";"2001 girls";"2002 Total";"2002 boys";"2002 girls";"2003 Total";"2003 boys";"2003 girls";"2004 Total";"2004 boys";"2004 girls";"2005 Total";"2005 boys";"2005 girls";"2006 Total";"2006 boys";"2006 girls";"2007 Total";"2007 boys";"2007 girls";"2008 Total";"2008 boys";"2008 girls";"2009 Total";"2009 boys";"2009 girls";"2010 Total";"2010 boys";"2010 girls";"2011 Total";"2011 boys";"2011 girls";"2012 Total";"2012 boys";"2012 girls";"2013 Total";"2013 boys";"2013 girls";"2014 Total";"2014 boys";"2014 girls";"2015 Total";"2015 boys";"2015 girls";"2016 Total";"2016 boys";"2016 girls";"2017 Total";"2017 boys";"2017 girls";"2018 Total";"2018 boys";"2018 girls"
"23";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2358;-;-;2471;-;-;2509;-;-;2228;-;-;2161;-;-;2136;-;-;2087;-;-;1995;-;-;2410;-;-;2418;-;-;2903;-;-;2798;-;-;2749;-;-;2843;-;-;2732;-;-;2753;-;-;2834;-;-;2806;-;-;3095;-;-;3123;-;-;3286;-;-;3577;-;-;3567;-;-;3399;-;-;3464;-;-;3427;-;-;3174;-;-;2976;-;-;2919;-;-;2637;-;-;2391;-;-;2117;-;-;1972;1018;954;1662;871;791;1470;756;714;1426;743;683;1376;696;680;1355;671;684;1370;689;681;1338;671;667;1232;635;597;1338;714;624;1324;695;629;1280;679;601;1350;711;639;1451;734;717;1340;685;655;1173;568;605;1038;531;507;936;504;432;905;448;457;913;436;477;933;469;464;919;487;432;815;424;391;691;340;351;555;255;300
"24";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2507;-;-;2457;-;-;2532;-;-;2413;-;-;2452;-;-;2300;-;-;2269;-;-;2143;-;-;2041;-;-;2470;-;-;2470;-;-;2713;-;-;2733;-;-;2686;-;-;2652;-;-;2511;-;-;2496;-;-;2762;-;-;2733;-;-;2727;-;-;3172;-;-;3283;-;-;3352;-;-;3269;-;-;3425;-;-;3205;-;-;3120;-;-;2766;-;-;2644;-;-;2354;-;-;2196;-;-;1931;-;-;1890;959;931;1659;859;800;1399;723;676;1339;708;631;1364;695;669;1411;704;707;1403;723;680;1347;689;658;1352;694;658;1316;667;649;1275;661;614;1309;675;634;1444;708;736;1482;788;694;1613;813;800;1317;690;627;1117;583;534;1116;568;548;1097;571;526;1087;577;510;1134;582;552;1084;541;543;945;467;478;906;454;452;787;401;386
"25";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2367;-;-;2521;-;-;2343;-;-;2348;-;-;2550;-;-;2509;-;-;2171;-;-;2115;-;-;1980;-;-;1987;-;-;2227;-;-;2172;-;-;2570;-;-;2473;-;-;2520;-;-;2442;-;-;2264;-;-;2362;-;-;2575;-;-;2546;-;-;2691;-;-;3015;-;-;2989;-;-;3151;-;-;3062;-;-;3112;-;-;2895;-;-;2628;-;-;2386;-;-;2175;-;-;1934;-;-;1704;-;-;1662;859;803;1549;836;713;1394;719;675;1307;671;636;1281;648;633;1408;718;690;1469;775;694;1399;726;673;1340;707;633;1404;717;687;1324;667;657;1452;706;746;1462;720;742;1603;815;788;1617;828;789;1476;754;722;1338;725;613;1190;635;555;1290;644;646;1306;630;676;1262;639;623;1234;653;581;1234;645;589;1083;565;518;972;515;457
"26";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2321;-;-;2242;-;-;2354;-;-;2335;-;-;2323;-;-;2376;-;-;2370;-;-;2026;-;-;2129;-;-;1890;-;-;1819;-;-;1970;-;-;2131;-;-;2331;-;-;2214;-;-;2171;-;-;2207;-;-;1964;-;-;2076;-;-;2312;-;-;2352;-;-;2723;-;-;2636;-;-;2663;-;-;2821;-;-;2877;-;-;2686;-;-;2481;-;-;2255;-;-;1895;-;-;1706;-;-;1496;-;-;1486;764;722;1307;678;629;1320;675;645;1298;689;609;1244;665;579;1390;711;679;1348;686;662;1251;631;620;1368;704;664;1337;717;620;1296;662;634;1358;700;658;1447;747;700;1519;786;733;1578;852;726;1538;789;749;1413;713;700;1268;660;608;1358;713;645;1422;739;683;1541;833;708;1370;739;631;1369;712;657;1311;692;619;1091;556;535
"27";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2086;-;-;2242;-;-;2165;-;-;2085;-;-;2170;-;-;2232;-;-;2296;-;-;2274;-;-;2044;-;-;1981;-;-;1773;-;-;1541;-;-;1903;-;-;1850;-;-;2018;-;-;1943;-;-;1902;-;-;1898;-;-;1865;-;-;1831;-;-;2097;-;-;2317;-;-;2408;-;-;2341;-;-;2558;-;-;2504;-;-;2386;-;-;2184;-;-;2057;-;-;1776;-;-;1544;-;-;1309;-;-;1332;672;660;1189;611;578;1151;606;545;1167;584;583;1171;608;563;1225;642;583;1209;620;589;1230;639;591;1246;645;601;1319;691;628;1220;611;609;1350;703;647;1398;696;702;1443;732;711;1505;716;789;1515;727;788;1317;690;627;1310;648;662;1393;675;718;1404;705;699;1525;796;729;1474;732;742;1461;744;717;1431;752;679;1260;680;580
"28";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1948;-;-;1815;-;-;1931;-;-;1927;-;-;2045;-;-;2096;-;-;2048;-;-;2029;-;-;2021;-;-;1848;-;-;1824;-;-;1590;-;-;1435;-;-;1655;-;-;1715;-;-;1826;-;-;1691;-;-;1635;-;-;1715;-;-;1680;-;-;1682;-;-;2070;-;-;2109;-;-;2007;-;-;2250;-;-;2298;-;-;2197;-;-;2090;-;-;1923;-;-;1692;-;-;1401;-;-;1164;-;-;1127;561;566;1049;555;494;983;499;484;909;448;461;1067;524;543;1195;609;586;1217;604;613;1124;569;555;1232;610;622;1250;667;583;1182;634;548;1264;625;639;1312;670;642;1443;737;706;1475;768;707;1285;651;634;1258;660;598;1229;633;596;1416;788;628;1461;726;735;1520;767;753;1544;807;737;1591;834;757;1438;755;683;1423;747;676
"29";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1917;-;-;1675;-;-;1693;-;-;1666;-;-;1703;-;-;1794;-;-;1827;-;-;1886;-;-;1921;-;-;1904;-;-;1697;-;-;1538;-;-;1427;-;-;1382;-;-;1395;-;-;1400;-;-;1595;-;-;1595;-;-;1478;-;-;1455;-;-;1517;-;-;1794;-;-;1811;-;-;1790;-;-;1881;-;-;2051;-;-;2022;-;-;1846;-;-;1729;-;-;1519;-;-;1305;-;-;1054;-;-;954;484;470;901;460;441;833;428;405;876;466;410;864;446;418;982;522;460;1078;542;536;993;510;483;1083;560;523;1167;612;555;1112;563;549;1292;665;627;1250;621;629;1347;666;681;1358;701;657;1271;643;628;1135;600;535;1153;579;574;1264;640;624;1374;709;665;1511;800;711;1574;791;783;1594;824;770;1436;761;675;1364;714;650
"30";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1635;-;-;1730;-;-;1555;-;-;1549;-;-;1692;-;-;1610;-;-;1669;-;-;1784;-;-;1740;-;-;1822;-;-;1758;-;-;1441;-;-;1389;-;-;1234;-;-;1095;-;-;1194;-;-;1245;-;-;1327;-;-;1363;-;-;1286;-;-;1439;-;-;1452;-;-;1516;-;-;1552;-;-;1605;-;-;1700;-;-;1654;-;-;1565;-;-;1585;-;-;1322;-;-;1246;-;-;944;-;-;879;454;425;741;366;375;740;379;361;794;387;407;797;417;380;880;455;425;873;454;419;937;480;457;1050;544;506;1060;531;529;1066;525;541;1150;602;548;1156;609;547;1213;580;633;1227;603;624;1190;637;553;1121;562;559;1027;532;495;1187;587;600;1268;646;622;1433;739;694;1527;796;731;1512;791;721;1488;786;702;1411;694;717
"31";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1536;-;-;1560;-;-;1413;-;-;1270;-;-;1305;-;-;1401;-;-;1504;-;-;1454;-;-;1543;-;-;1662;-;-;1570;-;-;1463;-;-;1312;-;-;1233;-;-;1024;-;-;954;-;-;1046;-;-;1052;-;-;1134;-;-;1217;-;-;1162;-;-;1328;-;-;1301;-;-;1210;-;-;1385;-;-;1468;-;-;1488;-;-;1399;-;-;1303;-;-;1212;-;-;1106;-;-;890;-;-;802;419;383;670;342;328;635;326;309;654;351;303;664;355;309;760;385;375;756;395;361;858;426;432;926;461;465;1003;500;503;927;461;466;1072;552;520;1095;562;533;1159;584;575;1217;627;590;1063;514;549;1007;542;465;1033;517;516;999;503;496;1165;600;565;1319;682;637;1386;701;685;1417;734;683;1345;692;653;1392;713;679
"32";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1500;-;-;1402;-;-;1306;-;-;1264;-;-;1157;-;-;1166;-;-;1238;-;-;1255;-;-;1436;-;-;1403;-;-;1441;-;-;1298;-;-;1291;-;-;1058;-;-;1035;-;-;886;-;-;825;-;-;902;-;-;868;-;-;1056;-;-;1058;-;-;1138;-;-;1243;-;-;1050;-;-;1181;-;-;1290;-;-;1187;-;-;1162;-;-;1141;-;-;1050;-;-;937;-;-;726;-;-;716;378;338;628;331;297;559;304;255;527;269;258;566;271;295;622;303;319;708;363;345;701;339;362;752;389;363;831;429;402;804;434;370;882;447;435;979;485;494;1000;498;502;1076;567;509;958;482;476;929;466;463;899;455;444;975;508;467;979;509;470;1088;541;547;1284;651;633;1330;684;646;1247;637;610;1236;667;569
"33";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1270;-;-;1200;-;-;1198;-;-;1050;-;-;1085;-;-;967;-;-;1046;-;-;1073;-;-;1118;-;-;1233;-;-;1205;-;-;1240;-;-;1154;-;-;1082;-;-;889;-;-;852;-;-;738;-;-;682;-;-;745;-;-;796;-;-;878;-;-;1042;-;-;957;-;-;964;-;-;1023;-;-;1107;-;-;1073;-;-;989;-;-;939;-;-;843;-;-;753;-;-;658;-;-;613;324;289;590;317;273;532;262;270;484;256;228;506;258;248;565;298;267;616;304;312;580;297;283;622;312;310;748;380;368;703;377;326;846;442;404;883;443;440;862;443;419;950;490;460;844;425;419;831;443;388;815;401;414;848;440;408;905;459;446;1036;535;501;1095;577;518;1194;600;594;1145;610;535;1088;566;522
"34";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1203;-;-;1067;-;-;1094;-;-;973;-;-;974;-;-;961;-;-;846;-;-;897;-;-;972;-;-;1029;-;-;1025;-;-;995;-;-;1019;-;-;944;-;-;914;-;-;771;-;-;664;-;-;584;-;-;538;-;-;635;-;-;692;-;-;880;-;-;869;-;-;834;-;-;953;-;-;824;-;-;867;-;-;832;-;-;819;-;-;698;-;-;642;-;-;572;-;-;561;275;286;456;232;224;451;241;210;484;255;229;498;232;266;423;239;184;501;252;249;504;253;251;528;265;263;604;318;286;607;298;309;707;350;357;780;399;381;793;400;393;828;378;450;775;384;391;723;365;358;744;372;372;791;407;384;871;425;446;875;464;411;967;523;444;1041;550;491;1044;544;500;1046;542;504
"35";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;865;-;-;937;-;-;844;-;-;874;-;-;836;-;-;869;-;-;792;-;-;683;-;-;777;-;-;853;-;-;931;-;-;853;-;-;922;-;-;875;-;-;822;-;-;733;-;-;606;-;-;539;-;-;468;-;-;484;-;-;626;-;-;660;-;-;763;-;-;593;-;-;762;-;-;800;-;-;708;-;-;662;-;-;649;-;-;596;-;-;507;-;-;401;-;-;421;225;196;464;225;239;409;216;193;422;213;209;397;206;191;399;207;192;448;231;217;443;220;223;452;227;225;483;259;224;559;274;285;612;312;300;644;325;319;689;359;330;718;389;329;719;374;345;665;367;298;649;348;301;715;383;332;757;379;378;861;454;407;889;466;423;909;492;417;947;494;453;853;436;417
"36";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;801;-;-;840;-;-;821;-;-;690;-;-;773;-;-;715;-;-;676;-;-;637;-;-;645;-;-;743;-;-;704;-;-;731;-;-;784;-;-;676;-;-;698;-;-;624;-;-;628;-;-;504;-;-;475;-;-;418;-;-;426;-;-;500;-;-;511;-;-;612;-;-;674;-;-;658;-;-;632;-;-;536;-;-;497;-;-;496;-;-;462;-;-;374;-;-;363;153;210;327;164;163;334;164;170;338;185;153;334;173;161;359;185;174;373;200;173;368;181;187;377;191;186;380;200;180;428;215;213;491;254;237;562;289;273;640;326;314;683;350;333;561;275;286;570;294;276;546;273;273;623;329;294;673;372;301;737;399;338;783;416;367;777;396;381;770;399;371;789;420;369
"37";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;752;-;-;661;-;-;642;-;-;622;-;-;552;-;-;562;-;-;596;-;-;507;-;-;559;-;-;500;-;-;599;-;-;560;-;-;552;-;-;588;-;-;570;-;-;550;-;-;476;-;-;434;-;-;389;-;-;365;-;-;366;-;-;379;-;-;425;-;-;381;-;-;491;-;-;502;-;-;474;-;-;449;-;-;419;-;-;393;-;-;346;-;-;307;-;-;285;129;156;290;161;129;289;154;135;285;139;146;299;168;131;305;154;151;302;160;142;306;162;144;322;163;159;303;151;152;376;212;164;387;193;194;410;236;174;447;211;236;471;249;222;557;280;277;443;219;224;471;257;214;513;270;243;553;273;280;588;320;268;600;334;266;680;357;323;668;341;327;625;323;302
"38";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;593;-;-;547;-;-;573;-;-;509;-;-;510;-;-;438;-;-;477;-;-;448;-;-;475;-;-;456;-;-;374;-;-;418;-;-;431;-;-;468;-;-;484;-;-;408;-;-;384;-;-;375;-;-;340;-;-;293;-;-;287;-;-;264;-;-;281;-;-;314;-;-;322;-;-;414;-;-;425;-;-;344;-;-;350;-;-;296;-;-;276;-;-;208;-;-;219;120;99;202;99;103;212;103;109;214;101;113;211;108;103;270;128;142;264;130;134;236;118;118;243;124;119;251;128;123;249;135;114;304;150;154;282;141;141;386;185;201;390;199;191;412;210;202;347;165;182;369;183;186;395;211;184;438;223;215;487;240;247;514;274;240;550;284;266;527;284;243;496;252;244
"39";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;430;-;-;435;-;-;423;-;-;422;-;-;402;-;-;401;-;-;336;-;-;383;-;-;362;-;-;381;-;-;381;-;-;300;-;-;353;-;-;362;-;-;333;-;-;318;-;-;305;-;-;310;-;-;270;-;-;259;-;-;251;-;-;235;-;-;223;-;-;207;-;-;242;-;-;274;-;-;286;-;-;238;-;-;260;-;-;206;-;-;215;-;-;180;-;-;212;109;103;160;83;77;155;88;67;173;91;82;167;82;85;220;114;106;192;103;89;226;113;113;191;99;92;223;105;118;185;87;98;219;110;109;250;127;123;269;134;135;294;140;154;297;166;131;284;147;137;282;143;139;321;175;146;320;161;159;375;208;167;418;231;187;408;201;207;408;216;192;436;232;204
"40";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;342;-;-;335;-;-;347;-;-;301;-;-;294;-;-;276;-;-;282;-;-;249;-;-;310;-;-;282;-;-;269;-;-;241;-;-;230;-;-;246;-;-;254;-;-;241;-;-;208;-;-;203;-;-;202;-;-;185;-;-;202;-;-;195;-;-;192;-;-;166;-;-;174;-;-;186;-;-;200;-;-;194;-;-;163;-;-;170;-;-;138;-;-;117;-;-;123;58;65;124;63;61;110;55;55;138;63;75;143;70;73;124;63;61;143;86;57;144;72;72;159;83;76;162;87;75;168;94;74;153;74;79;196;99;97;209;114;95;215;107;108;215;109;106;243;124;119;229;110;119;213;108;105;276;151;125;296;147;149;296;159;137;332;166;166;316;164;152;316;156;160
"41";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;242;-;-;236;-;-;198;-;-;194;-;-;222;-;-;200;-;-;212;-;-;194;-;-;203;-;-;190;-;-;182;-;-;179;-;-;176;-;-;150;-;-;160;-;-;158;-;-;147;-;-;151;-;-;128;-;-;139;-;-;153;-;-;158;-;-;112;-;-;125;-;-;131;-;-;111;-;-;148;-;-;131;-;-;120;-;-;119;-;-;116;-;-;92;-;-;94;53;41;68;35;33;83;47;36;103;52;51;114;52;62;104;45;59;83;44;39;100;46;54;100;49;51;112;57;55;138;72;66;110;64;46;124;67;57;130;64;66;145;71;74;154;75;79;140;77;63;128;66;62;166;86;80;174;88;86;172;78;94;218;111;107;217;121;96;256;134;122;225;116;109
"42";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;140;-;-;156;-;-;161;-;-;149;-;-;166;-;-;142;-;-;130;-;-;127;-;-;138;-;-;123;-;-;128;-;-;130;-;-;129;-;-;103;-;-;90;-;-;89;-;-;108;-;-;106;-;-;94;-;-;93;-;-;104;-;-;98;-;-;112;-;-;59;-;-;90;-;-;72;-;-;86;-;-;78;-;-;73;-;-;78;-;-;64;-;-;65;-;-;57;34;23;44;19;25;54;25;29;66;33;33;58;26;32;68;35;33;64;30;34;82;43;39;71;40;31;79;41;38;83;49;34;86;38;48;81;42;39;101;48;53;81;44;37;106;54;52;96;50;46;96;47;49;87;46;41;118;64;54;119;61;58;134;71;63;152;70;82;169;84;85;152;87;65
"43";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;92;-;-;89;-;-;97;-;-;105;-;-;98;-;-;87;-;-;78;-;-;86;-;-;85;-;-;85;-;-;77;-;-;79;-;-;94;-;-;68;-;-;74;-;-;55;-;-;56;-;-;55;-;-;60;-;-;58;-;-;67;-;-;55;-;-;49;-;-;50;-;-;57;-;-;54;-;-;57;-;-;32;-;-;51;-;-;46;-;-;42;-;-;50;-;-;44;17;27;33;15;18;29;15;14;41;22;19;29;15;14;47;19;28;42;20;22;32;17;15;39;12;27;45;26;19;31;23;8;46;18;28;43;24;19;44;23;21;50;21;29;62;31;31;53;26;27;44;19;25;55;33;22;64;30;34;79;46;33;83;44;39;77;43;34;106;63;43;83;35;48
